Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
DAODX,FDZADP,UNICEF,512578,A16,130,External,Programme Assistant,2018
DAODO,RZKORS,UNICEF,516998,A15,167,Internal,Executive Manager,2018
DAODD,AXXOKP,UNICEF,512829,A15,118,External,Education Specialist,2018
DAODP,KPZZZPDK,UNICEF,502980,A16,174,External,Information Comm. Technology Assistant,2017
DAOPZ,FDFZAR,UNICEF,513275,A14,76,Internal,Nutrition Specialist,2018
DAOPA,ORDPZ,UNICEF,494259,A16,63,Internal,Senior Health Specialist,2016
DAOPP,SZZFFAOR,UNICEF,523561,A15,160,External,Security Manager,2019
DAKD,KKOXKR,UNICEF,508220,A15,13,Internal,Operations Manager,2018
DAKPS,PFOFD,UNICEF,518687,A15,102,Internal,Child Protection Specialist,2019
DAFSF,KPZZSKAZ,UNICEF,517470,A16,86,External,Chief Immunization,2018
DAFZ,SRXKOS,UNICEF,518845,A16,89,Internal,Deputy Representative,2019
DAFZZ,ODFOKD,UNICEF,498282,A9,39,External,Training Officer,2016
DAASF,FAFFZP,UNICEF,494642,A9,237,External,Child Protection Officer,2016
DAAZF,ARDAAO,UNICEF,502391,A15,319,Internal,Supply Assistant,2017
DAAZP,XRASS,UNICEF,494317,A14,103,External,Budget Specialist,2016
DAAXX,XDSKFA,UNICEF,499586,A9,77,Internal,WASH Officer,2016
DAAXF,FPFXXO,UNICEF,496875,A9,39,External,Health Officer,2016
DAAA,OKADFS,UNICEF,504693,A15,213,Internal,Chief of Operations,2018
DAAP,XSSODD,UNICEF,510316,A16,115,Internal,Senior Supply & Logistics Manager,2018
DAAPD,DSOKX,UNICEF,494102,A15,74,Internal,Child Protection Specialist,2016
DAAPD,AFDAA,UNICEF,505997,A15,170,Internal,Child Protection Specialist,2017
DARS,FRDZKA,UNICEF,496336,A16,105,Internal,Chief of Operations,2016
DARKO,PAKXZX,UNICEF,511177,A15,202,External,Chief Child Protection,2018
DARKR,XODDDS,UNICEF,522332,A11,56,Internal,Chief Planning, Monitoring & Evaluation,2019
DARDZ,KPOPOX,UNICEF,506175,A9,271,External,Human Resources Officer,2017
DARDX,KDFRFP,UNICEF,505403,A16,275,External,Human Resources Associate,2017
PSXRO,OSSORX,UNICEF,500015,A9,77,External,Health & Nutrition Officer,2016
PSXRK,PZZRPR,UNICEF,499792,A9,80,External,Programme Officer,2017
PSXRK,OPZAPR,UNICEF,507414,A9,266,External,Programme Officer,2017
PSXRF,XOKKSP,UNICEF,498386,A9,14,External,Programme Officer,2016
PSXPO,FOKFZX,UNICEF,505521,A9,206,External,Education Officer,2017
PSXPK,OPDZPP,UNICEF,515312,A6,74,External,Programme Associate,2018
PSXPR,ASAKXA,UNICEF,518866,A14,128,Internal,Implementing Partnership Mgmt Specialist,2019
PSXPR,KOFKDX,UNICEF,503923,A14,122,Internal,Implementing Partnership Mgmt Specialist,2017
PSXPP,DDFZDK,UNICEF,518659,A16,257,External,Programme Assistant,2019
PSOSX,KPZZZRPF,UNICEF,510780,A16,293,External,Administrative Assistant,2018
PSOSD,KKXRAO,UNICEF,500016,A9,83,External,Health & Nutrition Officer,2016
PSOSP,SPKRAP,UNICEF,498095,A16,84,Internal,Chief Child Protection,2016
PSOZS,KFZAKX,UNICEF,512349,A16,45,Internal,Chief Nutrition,2018
PSOZZ,KPZZZKXA,UNICEF,512988,A14,151,External,Research & Evaluation Specialist,2018
PSOZX,AFRSFD,UNICEF,515653,A14,2,Internal,Youth & Adolescent Develop. Specialist,2018
PSOZF,KPZZSFKK,UNICEF,513750,A10,60,External,Operations Manager,2018
PSOZD,FADRRR,UNICEF,503060,A10,70,External,Information Management Specialist,2017
PSOXF,KPZZPSXK,UNICEF,519856,A7,102,External,Senior Communication Associate,2019
PSOXA,KPZZPPFP,UNICEF,520262,A6,129,External,Administrative & Supply Associate,2019
PSOXD,KODSKP,UNICEF,515542,A14,170,External,Nutrition Specialist,2018
PSOOS,XDZZP,UNICEF,501422,A15,215,External,Health Manager,2017
PSOOX,DXXZSO,UNICEF,505987,A15,93,External,Chief Child Protection,2017
PSOOA,RPXADF,UNICEF,517371,A10,37,External,Social Policy Specialist,2018
PSOOR,KDAKAA,UNICEF,504706,A10,24,External,Planning Specialist,2017
PSOKO,PKADO,UNICEF,513826,A13,30,Internal,Driver,2018
PSOKF,ARKOOX,UNICEF,509365,A14,5,Internal,Senior Driver,2017
PSOKA,KOKDDF,UNICEF,493992,A14,84,External,Operations Manager,2016
PSOKR,KDZZPXRD,UNICEF,513105,A6,49,External,Finance Associate,2018
PSOFZ,KDRZSP,UNICEF,504896,A6,135,External,Programme Associate,2017
PSOAF,KPZZPSAZ,UNICEF,519899,A16,116,External,Programme Assistant,2019
PSOAP,KPZZPFDX,UNICEF,522228,A16,145,External,Programme Assistant,2019
PSORK,KPZZZZDR,UNICEF,519491,A8,179,External,Nutrition Officer,2019
PSORR,KKAPSP,UNICEF,507492,A9,1,External,Health Officer,2017
PSODR,ADRKAO,UNICEF,519240,A16,67,Internal,Programme Assistant,2019
PSODP,KPZZSRKP,UNICEF,516477,A9,36,External,Education Officer,2018
PSOPO,XPXSFA,UNICEF,508493,A16,14,External,Finance Assistant,2017
PSKSZ,PFKOD,UNICEF,504005,A10,229,Internal,Communication Specialist,2017
PSKSR,OKZKFS,UNICEF,513663,A9,66,External,Child Protection Officer,2018
PSKSP,KPZZPPKX,UNICEF,520849,A6,62,External,Programme Associate,2019
PSKXA,FSKOKK,UNICEF,506305,A14,117,Internal,Communication for Development Specialist,2017
PSKOZ,KPZZZSSS,UNICEF,508377,A10,131,External,Social Policy Specialist,2017
PSKOF,KPZZSPXO,UNICEF,521421,A16,69,External,Data Base Assistant,2019
PSKOR,FOPFFR,UNICEF,498828,A15,73,External,Administrative Assistant,2016
PSKKF,OFKDF,UNICEF,510450,A15,79,Internal,Human Resources Manager,2018
PSKKD,RRZKXP,UNICEF,506508,A16,12,External,Human Resources Assistant,2017
PSKAK,DXRRPD,UNICEF,516079,A8,17,Internal,Finance Officer,2018
PSKAK,RDSSF,UNICEF,516079,A8,17,Internal,Finance Officer,2018
PSKAF,KPZZZOSF,UNICEF,511628,A10,117,External,Monitoring & Evaluation Specialist,2018
PSKRK,ROKSFS,UNICEF,509571,A10,45,Internal,Education Specialist,2018
PSKRF,OAPRKK,UNICEF,515388,A11,55,Internal,Nutrition Specialist,2018
PSKRA,SASXSO,UNICEF,515220,A15,108,Internal,Nutrition Specialist,2018
PXZAA,ARKFKZ,UNICEF,514779,A14,1,Internal,Chief Field Office,2018
PXZRX,FFSOKX,UNICEF,501158,A6,18,External,Programme Associate,2016
PXZRO,PSKSOA,UNICEF,498636,A14,175,External,Planning, Monit. & Evaluation Specialist,2016
PXZRO,DOAFKF,UNICEF,505188,A14,229,Internal,Planning, Monit. & Evaluation Specialist,2017
PXZRO,RDXDXO,UNICEF,498636,A14,175,External,Planning, Monit. & Evaluation Specialist,2016
PXZRO,XAORZX,UNICEF,498636,A14,175,External,Planning, Monit. & Evaluation Specialist,2016
PXZRK,ADRDFZ,UNICEF,519002,A14,259,External,Social Policy Specialist,2019
PXXSD,RFRRAA,UNICEF,506250,A10,153,Internal,Child Protection Specialist,2017
PXXZX,SFRFZK,UNICEF,493812,A14,160,External,Education Specialist,2016
PXXZX,ADZDDK,UNICEF,517267,A14,137,Internal,Education Specialist,2018
PXXZD,KPZZZRDO,UNICEF,509268,A9,48,External,Programme Officer,2018
PXXZD,XOFZZR,UNICEF,496018,A9,31,External,Programme Officer,2016
PXXKP,DSPFPX,UNICEF,517493,A10,41,Internal,Early Childhood Development Specialist,2018
PXXFF,XZKFDR,UNICEF,504688,A14,197,Internal,Child Protection Specialist,2017
PXXFD,POXFXP,UNICEF,499175,A14,219,Internal,Monitoring & Evaluation Specialist,2016
PXXAF,RORRPK,UNICEF,514600,A15,1,Internal,WASH Specialist,2018
PXXAA,RODSKD,UNICEF,512960,A15,117,Internal,Health Specialist,2018
PXXRR,KPRXXZ,UNICEF,502946,A8,141,External,Education Officer,2017
PXXDZ,FPPFRZ,UNICEF,505093,A8,117,External,Education Officer,2017
PXXDA,FSOORK,UNICEF,508614,A9,30,Internal,Information Comm. Technology Officer,2017
PXXDP,KPFRZD,UNICEF,502161,A16,46,External,Programme Associate,2017
PXXPF,KFASPP,UNICEF,505079,A11,33,External,Chief Planning, Monitoring & Evaluation,2017
PXXPD,KRSAOP,UNICEF,505117,A16,190,External,Programme Assistant,2017
PXOSK,OARXSD,UNICEF,510437,A14,212,Internal,Operations Specialist,2018
PXOSF,DXFZSZ,UNICEF,494043,A14,48,Internal,Human Resources Specialist,2016
PXOSD,KOXXKR,UNICEF,523022,A14,31,Internal,Programme Specialist HACT,2019
PXOF,XXSZOA,UNICEF,505586,A15,70,Internal,Chief of Communication,2017
PXOAA,XOZXFZ,UNICEF,494172,A15,85,External,Health Specialist,2016
PXKSP,KFORSK,UNICEF,516151,A15,6,Internal,WASH Manager,2018
PXKZX,KPZZPFDZ,UNICEF,523081,A14,139,External,Staff Counsellor,2019
PXKFZ,PPXZSA,UNICEF,513037,A14,192,Internal,Planning Specialist,2018
PXKFO,FFFDFK,UNICEF,506245,A15,85,External,Nutrition Specialist,2017
PXKFK,POKXDP,UNICEF,499835,A15,101,Internal,WASH Specialist,2016
PXKPS,FOADZP,UNICEF,502126,A16,79,External,Marketing Assistant,2017
PXKPZ,KPZZZORO,UNICEF,510651,A16,47,External,Fund Raising Assistant,2018
PXKPX,FDFOAR,UNICEF,502935,A15,82,External,Data Base Assistant,2017
PXFZ,XZSODO,UNICEF,494227,A15,120,Internal,Deputy Representative,2016
PXFXF,KPZZZAPP,UNICEF,509671,A7,411,External,Senior Administrative & Finance Associat,2018
PXFOK,FXSDAO,UNICEF,514658,A9,11,Internal,Education Officer,2018
PXFKR,ORAKKD,UNICEF,520648,A16,89,External,Programme Assistant,2019
PXFKD,ODOZRO,UNICEF,494225,A10,40,External,Nutrition Specialist,2016
PXFFS,XZRSFS,UNICEF,502002,A9,88,External,Nutrition Officer,2017
PXFFX,PXZOXS,UNICEF,507488,A9,62,External,Nutrition Officer,2017
PXFFO,SOFFPK,UNICEF,496377,A16,68,Internal,Programme Assistant,2016
PXFFK,SFRXAP,UNICEF,499588,A10,47,Internal,WASH Specialist,2016
PXFA,PZDOZF,UNICEF,510821,A14,37,External,Human Resources Specialist,2018
PXFAK,KPZZPZOF,UNICEF,518722,A9,22,External,Child Protection Officer,2019
PXFAR,KPZZPRXA,UNICEF,519993,A9,44,External,Child Protection Officer,2019
PXFRD,FKXFDK,UNICEF,496379,A10,46,Internal,Education Specialist,2016
PXFDK,KZDOAP,UNICEF,504590,A6,356,External,Supply Associate,2017
PXFPO,SXFKRZ,UNICEF,508306,A16,138,Internal,Chief Social Policy and Monit & Eval,2017
PKPKA,FOSROD,UNICEF,493919,A14,108,Internal,Contracts Specialist,2016
PKPKA,XOOFSA,UNICEF,515259,A14,208,Internal,Contracts Specialist,2018
PKPFS,KPZZSDOO,UNICEF,512148,A10,60,External,Social Policy Specialist,2018
PKPFA,KPZZSRAP,UNICEF,515748,A10,114,External,Partnerships Specialist,2018
PKPFD,FPOSDZ,UNICEF,506719,A9,145,External,Partnerships Officer,2017
PKPAS,KPZZPAPP,UNICEF,522363,A10,80,External,Supply & Procurement Specialist,2019
PKPAZ,KPZZZOPF,UNICEF,513007,A6,45,External,Supply Associate,2018
PKPAK,KPZZSRDA,UNICEF,516314,A6,86,External,Information Comm. Technology Associate,2018
PKPAF,KSPAOF,UNICEF,512178,A16,79,External,Information Comm. Technology Assistant,2018
PKPRZ,KPZZPPFO,UNICEF,520074,A9,55,External,Donor Relations Officer,2019
PKPRX,ORZRXF,UNICEF,503229,A8,48,External,Private Sector Fundraising Officer,2017
PKPRO,XOXOXF,UNICEF,498251,A10,79,External,Chief Field Office,2016
PKPDX,XXOPOO,UNICEF,493770,A14,77,External,Early Childhood Development Specialist,2016
PKPDF,KKXPKZ,UNICEF,498253,A10,120,External,Chief Field Office,2016
PKPPK,KPZZZRZR,UNICEF,515224,A6,65,External,Programme Associate,2018
PKPPA,OPDPPO,UNICEF,519095,A9,23,Internal,Fund Raising Officer Private Sector Fund,2019
PKPPR,KPZZPPOX,UNICEF,519577,A6,24,External,Fund Raising Associate,2019
PKPPD,FRSZAP,UNICEF,504823,A6,34,External,Customer Services Associate,2017
PKPPP,SAXPFO,UNICEF,493947,A15,200,Internal,Communication Specialist,2016
ZSOXOR,KPZZZPSO,UNICEF,509521,A16,122,External,Administrative Assistant,2017
ZSOXOD,RKAZAX,UNICEF,507184,A15,4,Internal,Business Analyst,2017
ZSOXKS,DDRDPK,UNICEF,509267,A14,66,External,Education Specialist,2017
ZSOXKX,FDFODZ,UNICEF,507178,A15,8,Internal,Early Childhood Development Manager,2017
ZSOXKO,KOXRXZ,UNICEF,520086,A14,55,External,Child Protection Specialist,2019
ZSOXKK,PKSPOS,UNICEF,507187,A15,11,Internal,Child Protection Specialist,2017
ZSOXKD,XFRSZK,UNICEF,508909,A15,95,External,WASH Specialist,2017
ZSOXKP,RFSAKR,UNICEF,510220,A15,63,Internal,Emergency Manager,2018
ZSOXFS,FDPFSS,UNICEF,511502,A16,59,Internal,Executive Assistant,2018
ZSOXFX,ORFRSO,UNICEF,516310,A13,11,External,Emergency Officer,2018
ZSOXFA,KPZZZFAR,UNICEF,508556,A13,93,External,Gender & Development Officer,2017
ZSOXFR,SDSRK,UNICEF,511507,A8,35,External,Programme Officer,2018
ZSOXAS,PZXFPA,UNICEF,508434,A14,72,External,Communication Specialist,2017
ZSOXAO,PRKPSA,UNICEF,508557,A14,84,Internal,Contracts Specialist,2017
ZSOXAK,DOXDOX,UNICEF,512540,A6,27,Internal,Contracts Associate,2018
ZSOXAF,ROSSRZ,UNICEF,517175,A7,48,Internal,Senior Info. Comm. Technology Associate,2018
ZSOXAD,FAPAZS,UNICEF,505321,A16,146,External,Human Resources Assistant,2017
ZSOXAP,KPZZZAZK,UNICEF,509589,A16,85,External,Information Comm. Technology Assistant,2017
ZSOXRS,ORAORS,UNICEF,509301,A6,101,Internal,Human Resources Associate,2017
ZSOXRZ,KPZZZDPA,UNICEF,509584,A6,40,External,Finance Associate,2018
ZSOXRO,KKSPDP,UNICEF,512188,A9,53,Internal,Communication for Development Officer,2018
ZSOXRK,OKDPKZ,UNICEF,515300,A10,104,Internal,Health Specialist,2018
ZSOXRF,KPZZSKSF,UNICEF,518153,A10,40,External,Health Specialist,2018
ZSOXRA,KPZZZSXR,UNICEF,508760,A9,50,External,Nutrition Officer,2017
ZSOXRD,PODXXP,UNICEF,512256,A8,55,External,WASH Officer,2018
ZSOXDZ,FXPPSS,UNICEF,509493,A9,51,Internal,WASH Officer,2017
ZSOXDX,ORXRXP,UNICEF,511008,A9,70,External,WASH Officer,2018
ZSOXDO,PXDDKX,UNICEF,511009,A9,50,External,WASH Officer,2018
ZSOXDF,KAZROO,UNICEF,507484,A9,67,External,Supply Officer,2017
ZSOXDD,KSPFOZ,UNICEF,509489,A9,50,External,Programme Officer,2017
ZSOXDP,XRKPRZ,UNICEF,511508,A9,2,Internal,Child Protection Officer,2018
ZSOXPX,KPZZZKZD,UNICEF,511603,A9,29,External,Child Protection Officer,2018
ZSOXPO,KPZZPDFX,UNICEF,520901,A9,121,External,Health Officer,2019
ZSOXPA,KPZZZARK,UNICEF,511443,A9,96,External,Monitoring Officer,2018
ZSOXPD,OAAZFS,UNICEF,516610,A9,46,External,Social Policy Officer,2018
ZSOOSS,AKZSRD,UNICEF,510724,A9,27,External,Social Policy Officer,2018
ZSOOSO,OAXKDA,UNICEF,511550,A14,107,External,Programme Specialist,2018
ZSOOSK,RPADFR,UNICEF,508755,A10,32,External,Chief Field Office,2017
ZSOOXZ,DSDSR,UNICEF,510117,A14,181,External,Programme Specialist,2018
ZSOOXX,PXKZDZ,UNICEF,507229,A9,93,Internal,Finance Officer,2017
ZSOOXF,OZZFOA,UNICEF,505368,A8,133,Internal,Human Resources Officer,2017
ZSOOXA,XFSZZS,UNICEF,506677,A16,151,External,Administrative Assistant,2017
ZSOOXR,OZFKAD,UNICEF,508716,A8,152,Internal,Social Policy Officer,2017
ZSOOXD,XFZXAP,UNICEF,504170,A8,70,External,Early Childhood Development Officer,2017
ZSOOXP,KFASXA,UNICEF,511666,A6,53,External,Communication Associate,2018
ZSOOOS,PXRZXS,UNICEF,505831,A6,134,External,Publication Associate,2017
ZSOOOZ,KPZZSAKS,UNICEF,516029,A6,40,External,Fund Raising Associate,2018
ZSOOOZ,XOOSFA,UNICEF,506609,A6,60,External,Fund Raising Associate,2017
ZSOFRD,KPZZPAAZ,UNICEF,520740,A6,67,External,Information Comm. Technology Associate,2019
ZSOFRP,KPZZZROO,UNICEF,509447,A6,129,External,Human Resources Associate,2018
ZSOFDZ,AFAKAP,UNICEF,508653,A9,20,Internal,Administrative Officer,2017
ZSOFDX,FKAZDP,UNICEF,505846,A15,9,Internal,Administrative Assistant,2017
ZSOFDR,KDZZZROR,UNICEF,516292,A15,69,External,Health Specialist,2018
ZSOFPS,KPZZZOAR,UNICEF,509937,A15,109,External,Child Protection Specialist,2018
ZSOFPX,RKKXAZ,UNICEF,508797,A15,112,External,WASH Specialist,2017
ZSOFPO,KPZZSKZP,UNICEF,516431,A14,116,External,Gender & Development Specialist,2018
ZSOFPA,KPZZZDDR,UNICEF,509526,A6,98,External,Programme Associate,2017
ZSOFPD,KPZZSZOS,UNICEF,511074,A8,201,External,Monitoring & Evaluation Officer,2018
ZSOASO,KPZZZDZK,UNICEF,509187,A15,158,External,Communication Specialist,2017
ZSOASK,XDFRPF,UNICEF,508866,A6,134,External,Communication Associate,2017
ZSOASF,ROFPPD,UNICEF,516260,A16,58,Internal,Regional Adviser,2018
ZSOASA,XADDXO,UNICEF,514602,A15,58,Internal,Partnerships Specialist,2018
ZSOASD,KPZZSAPS,UNICEF,510037,A15,189,External,Operations Manager,2018
ZSOASP,DZPXOA,UNICEF,510039,A15,177,Internal,Administrative & Finance Manager,2018
ZSOAZS,FDXPFD,UNICEF,510620,A6,171,Internal,Operations Associate,2018
ZSOAZK,KPZZZAXF,UNICEF,510062,A6,168,External,Administrative Associate,2018
ZSOAZF,SRSXKA,UNICEF,510485,A15,255,External,Monitoring & Evaluation Specialist,2018
ZSOAZA,KPZZZAFZ,UNICEF,508537,A14,132,External,Planning Specialist,2017
ZSOAZR,OORSKA,UNICEF,506433,A15,73,Internal,Operations Manager,2017
ZSOAZD,KXRAOF,UNICEF,504236,A6,1054,External,Programme Associate,2017
ZSOAOZ,KZXOZD,UNICEF,506434,A6,6,External,Programme Associate,2017
ZSOAOO,KZAFRR,UNICEF,504974,A8,240,External,Monitoring & Evaluation Officer,2017
ZSOAOF,FRKOOO,UNICEF,506870,A8,80,External,Monitoring & Evaluation Officer,2017
ZSOAOA,KODRSF,UNICEF,504974,A8,240,External,Monitoring & Evaluation Officer,2017
ZSOAOR,KDKDKS,UNICEF,504974,A8,240,External,Monitoring & Evaluation Officer,2017
ZSOAOD,ODDRDO,UNICEF,504974,A8,240,External,Monitoring & Evaluation Officer,2017
ZSORFR,RAPKRS,UNICEF,506682,A16,63,External,Regional Adviser Partnerships,2017
ZSORR,KRXPSF,UNICEF,506611,A16,143,External,Administrative Assistant,2017
ZSORDZ,KPZZZASK,UNICEF,510428,A15,99,External,Gender & Development Specialist,2018
ZSODAO,XXOAKP,UNICEF,506402,A9,15,External,Fund Raising Officer,2017
ZSODAK,XOAKFP,UNICEF,506401,A9,20,External,Fund Raising Officer,2017
ZSODRK,KAKDPO,UNICEF,506504,A14,97,External,Education Cluster Coordinator,2017
ZSODDO,KPRAFK,UNICEF,506263,A14,121,External,Immunization Specialist,2017
ZSODDK,KPZZZSRF,UNICEF,508513,A8,25,External,Education Officer,2017
ZSODDF,KPZZZSRA,UNICEF,506781,A9,22,External,Health Officer,2017
ZSODPK,KZAPFK,UNICEF,507246,A16,529,External,Programme Assistant,2017
ZSOPSA,KPDPXA,UNICEF,507246,A16,529,External,Programme Assistant,2017
ZSOPSD,KPZZZSRP,UNICEF,507144,A13,332,External,Project Officer,2017
ZSOPZR,KRROOF,UNICEF,508392,A14,103,External,Education Cluster Coordinator,2017
ZSOPOD,KPZZZZDR,UNICEF,508133,A9,95,External,Nutrition Officer,2017
ZSKSZD,KPZZSPPD,UNICEF,526226,A9,2,External,Nutrition Officer,2019
ZSKSXX,FFADPK,UNICEF,508246,A9,135,External,Nutrition Officer,2017
ZSKSXO,KPZZZFFA,UNICEF,524114,A9,1,Internal,Nutrition Officer,2019
ZSKSOS,KPZZZDOO,UNICEF,509530,A15,36,External,Chief Child Protection,2017
ZSKSOZ,OXRZKX,UNICEF,509532,A15,47,External,Chief Education,2017
ZSKSOX,OPZSXD,UNICEF,507803,A16,108,External,Administrative Assistant,2017
ZSKSFX,KPZZZADF,UNICEF,509651,A10,81,External,Education Specialist,2018
ZSKSFO,KPZZZXAK,UNICEF,509652,A10,80,External,Education Specialist,2018
ZSKFSK,RODARX,UNICEF,512415,A14,45,Internal,Partnerships Specialist,2018
ZSKFSF,AKOFF,UNICEF,510133,A9,86,Internal,Education Officer,2018
ZSKFSA,OPAASF,UNICEF,508279,A8,76,Internal,Communication Officer,2017
ZSKFSR,ROSXD,UNICEF,508803,A9,96,Internal,Programme Officer,2017
ZSKFSP,KPZZZADR,UNICEF,510134,A8,85,External,Child Protection Officer,2018
ZSKFZS,KPZZZARZ,UNICEF,508810,A14,104,External,Social Policy Specialist,2017
ZSKFZZ,DPDROA,UNICEF,509636,A9,27,Internal,Health & Nutrition Officer,2018
ZSKFZO,KPZZZFKX,UNICEF,509082,A9,45,External,Reports Officer,2019
ZSKFZK,KPZZZFSS,UNICEF,509083,A10,38,External,Programme & Planning Specialist,2019
ZSKFZA,KPZZZRSR,UNICEF,503854,A10,33,External,WASH Specialist,2017
ZSKFZR,OFDXPZ,UNICEF,509825,A14,228,Internal,Child Protection Specialist,2018
ZSKFZD,KPZZSPRF,UNICEF,509047,A9,121,External,Monitoring & Evaluation Officer,2017
ZSKFZP,KPZZSSKA,UNICEF,513235,A10,24,External,Health Specialist,2018
ZSKFXS,KPZZSSOO,UNICEF,510538,A9,72,External,Education Officer,2018
ZSKFXZ,KPZZPPDR,UNICEF,513651,A13,27,External,Driver,2018
ZSKFXK,KXDSZF,UNICEF,515012,A10,32,Internal,Social Policy Specialist,2018
ZSKFXF,FRXDZZ,UNICEF,509286,A8,32,External,Programme Officer,2017
ZSKFXA,OPASAS,UNICEF,509259,A8,20,External,Programme Officer,2017
ZSKFXR,KXDRAD,UNICEF,509439,A8,95,External,Communication Officer,2017
ZSKFXD,AKXSRS,UNICEF,508887,A6,18,Internal,Fund Raising Associate,2017
ZSKFXP,OSZSKZ,UNICEF,516860,A8,70,Internal,Communication Officer,2018
ZSKFOS,KPZZZDAR,UNICEF,510176,A6,33,External,Communication Associate,2018
ZSKFOX,ODFPPX,UNICEF,512170,A14,118,Internal,Operations Specialist,2018
ZSKFOO,KPZZSOSZ,UNICEF,509971,A14,159,External,Gender Programme Specialist,2018
ZSKFOO,KPZZSOSZ,UNICEF,519246,A14,149,External,Gender Programme Specialist,2018
ZSKFOF,FOXFRS,UNICEF,510066,A9,81,External,Communication for Development Officer,2018
ZSKFOA,OSSSDX,UNICEF,519744,A14,135,Internal,Health Specialist,2019
ZSKFOD,AOFZDK,UNICEF,510141,A10,58,Internal,Child Protection Specialist,2018
ZSKFKS,FDDFRF,UNICEF,515600,A14,197,External,Emergency Specialist,2018
ZSKFKZ,FKSZPF,UNICEF,509369,A14,23,External,Emergency Specialist,2017
ZSKFKO,FFXSZA,UNICEF,519487,A6,55,External,Security Associate,2019
ZSKFKF,KPZZZAAR,UNICEF,508865,A10,56,External,WASH Specialist,2017
ZSKFKA,KPZZZAZZ,UNICEF,508865,A10,56,External,WASH Specialist,2017
ZSKFKP,KPZZZFSF,UNICEF,509157,A10,85,External,Education Specialist,2017
ZSKFFS,FPORSP,UNICEF,508865,A10,56,External,WASH Specialist,2017
ZSKFFX,FPOOOD,UNICEF,508865,A10,56,External,WASH Specialist,2017
ZSKFFK,FPAOSO,UNICEF,508958,A10,20,External,Nutrition Specialist,2017
ZSKFFF,XZSZKO,UNICEF,512174,A15,98,Internal,Chief Planning, Monitoring & Evaluation,2018
ZSKFFA,KPZZZAOK,UNICEF,509380,A9,83,External,Social Policy Officer,2017
ZSKFFD,XKFKFO,UNICEF,509378,A9,165,External,Education Officer,2018
ZSKFFP,ORXFOZ,UNICEF,509379,A9,141,External,Child Protection Officer,2018
ZSKFAX,AKZKOR,UNICEF,508799,A14,136,Internal,Child Protection Specialist,2017
